model_Id,hvac_tstat,event_start,event_hours,precool_hours,precool_degF,reset_degF
"DF_70_14_2_[4, 6]_2_0",70,14,2,4,2,0
"DF_70_14_2_[4, 6]_2_2",70,14,2,4,2,2
"DF_70_14_2_[4, 6]_2_4",70,14,2,4,2,4
"DF_70_14_2_[4, 6]_2_6",70,14,2,4,2,6
"DF_70_14_2_[4, 6]_0_0",70,14,2,6,0,0
"DF_70_14_2_[4, 6]_0_2",70,14,2,6,0,2
"DF_70_14_2_[4, 6]_0_4",70,14,2,6,0,4
"DF_70_14_2_[4, 6]_0_6",70,14,2,6,0,6
"DF_70_14_2_[4, 6]_2_0",70,14,2,6,2,0
"DF_70_14_2_[4, 6]_2_2",70,14,2,6,2,2
"DF_70_14_2_[4, 6]_2_4",70,14,2,6,2,4
"DF_70_14_2_[4, 6]_2_6",70,14,2,6,2,6
"DF_70_14_4_[4, 6]_0_0",70,14,4,4,0,0
"DF_70_14_4_[4, 6]_0_2",70,14,4,4,0,2
"DF_70_14_4_[4, 6]_0_4",70,14,4,4,0,4
"DF_70_14_4_[4, 6]_0_6",70,14,4,4,0,6
"DF_70_14_4_[4, 6]_2_0",70,14,4,4,2,0
"DF_70_14_4_[4, 6]_2_2",70,14,4,4,2,2
"DF_70_14_4_[4, 6]_2_4",70,14,4,4,2,4
"DF_70_14_4_[4, 6]_2_6",70,14,4,4,2,6
"DF_70_14_4_[4, 6]_0_0",70,14,4,6,0,0
"DF_70_14_4_[4, 6]_0_2",70,14,4,6,0,2
"DF_70_14_4_[4, 6]_0_4",70,14,4,6,0,4
"DF_70_14_4_[4, 6]_0_6",70,14,4,6,0,6
"DF_70_14_4_[4, 6]_2_0",70,14,4,6,2,0
"DF_70_14_4_[4, 6]_2_2",70,14,4,6,2,2
"DF_70_14_4_[4, 6]_2_4",70,14,4,6,2,4
"DF_70_14_4_[4, 6]_2_6",70,14,4,6,2,6
"DF_70_14_6_[4, 6]_0_0",70,14,6,4,0,0
"DF_70_14_6_[4, 6]_0_2",70,14,6,4,0,2
"DF_70_14_6_[4, 6]_0_4",70,14,6,4,0,4
