Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Electricity:Facility [J](TimeStep),Fans:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),InteriorLights:Electricity [J](TimeStep) 
 01/02  03:00:00,1.0,100.0,35042565.779680009,0.0,0.0,0.0,2412374.4105526807 
 01/02  03:15:00,0.875,100.0,35042565.779680009,0.0,0.0,0.0,2412374.4105526807 
 01/02  03:30:00,0.75,100.0,35042565.779680009,0.0,0.0,0.0,2412374.4105526807 
 01/02  03:45:00,0.625,100.0,35042565.779680009,0.0,0.0,0.0,2412374.4105526807 
 01/02  04:00:00,0.5,100.0,35042565.779680009,0.0,0.0,0.0,2412374.4105526807 
 01/02  04:15:00,0.35,100.0,35042565.779680009,0.0,0.0,0.0,2412374.4105526807 
 01/02  04:30:00,0.2,100.0,35042565.779680009,0.0,0.0,0.0,2412374.4105526807 
 01/02  04:45:00,0.04999999999999999,100.0,35042565.779680009,0.0,0.0,0.0,2412374.4105526807 
 01/02  05:00:00,-0.1,100.0,41911650.12978472,1272325.1374677316,0.0,5596759.21263698,2412374.4105526807 
 01/02  05:15:00,-0.1,99.0,44356738.10193978,1272325.1374677316,0.0,5629472.774239355,4824748.821105361 
 01/02  05:30:00,-0.1,98.0,37454940.19023269,0.0,0.0,0.0,4824748.821105361 
 01/02  05:45:00,-0.1,97.0,44844055.74748035,1272325.1374677316,0.0,6116790.419779923,4824748.821105361 
 01/02  06:00:00,-0.1,96.0,45012849.60280201,1272325.1374677316,0.0,6285584.275101593,4824748.821105361 
 01/02  06:15:00,0.04999999999999999,96.0,198274321.68062017,3642522.3283475569,0.0,157176859.16203986,4824748.821105361 
 01/02  06:30:00,0.2,96.0,183872799.0441528,3642522.328347557,0.0,142775336.52557258,4824748.821105361 
 01/02  06:45:00,0.35,96.0,169756848.66217775,3642522.328347557,0.0,128659386.14359744,4824748.821105361 
 01/02  07:00:00,0.5,96.0,145999996.02935825,3642522.328347557,0.0,118226133.51077795,4824748.821105361 
 01/02  07:15:00,0.9,89.75,148419937.20530779,3642522.328347557,0.0,100881961.65990143,14474246.463316074 
 01/02  07:30:00,1.3,83.5,139158384.38497419,3642522.328347557,0.0,91620408.83956781,14474246.463316074 
 01/02  07:45:00,1.7000000000000002,77.25,131348958.53248769,3642522.328347557,0.0,83810982.98708135,14474246.463316074 
 01/02  08:00:00,2.1,71.0,124234759.06958208,3642522.328347557,0.0,76696783.52417575,14474246.463316074 
 01/02  08:15:00,3.7750000000000005,66.25,155247683.81492696,3642522.328347557,0.0,44811844.86373519,43422739.389948237 
 01/02  08:30:00,5.45,61.5,147497147.3798329,3642522.328347557,0.0,37061308.42864117,43422739.389948237 
 01/02  08:45:00,7.125000000000001,56.75,143037011.01536689,3642522.328347557,0.0,32601172.064175134,43422739.389948237 
 01/02  09:00:00,8.8,52.0,140403099.96853826,3642522.328347557,0.0,29967261.017346484,43422739.389948237 
 01/02  09:15:00,9.925,48.25,130918722.34990245,3647070.733947754,0.0,27992049.27882482,43422739.389948237 
 01/02  09:30:00,11.05,44.5,129231323.70318134,3704657.755691385,0.0,26247063.61036007,43422739.389948237 
 01/02  09:45:00,12.175,40.75,127899084.43932848,3796805.129202055,0.0,24822676.972996545,43422739.389948237 
 01/02  10:00:00,13.3,37.0,129075545.06861682,3919394.004386722,2043293.652774904,23833255.07432531,43422739.389948237 
 01/02  10:15:00,14.000000000000002,35.5,128735407.11941654,4065194.636456104,3666457.718296867,23458086.493467779,43422739.389948237 
 01/02  10:30:00,14.700000000000001,34.0,130141003.75578298,4213187.323055468,5414608.306260915,22967539.855270748,43422739.389948237 
 01/02  10:45:00,15.400000000000003,32.5,131031441.95833867,4341220.427082137,7260998.595421502,21883554.664639214,43422739.389948237 
 01/02  11:00:00,16.1,31.0,131539441.36711556,4462805.47250966,9211371.399357869,20319596.22405221,43422739.389948237 
 01/02  11:15:00,16.375,30.25,132711086.78278443,4572978.190824274,10115291.355164839,18743214.89966545,43422739.389948237 
 01/02  11:30:00,16.65,29.5,132469658.28685363,4676924.848803164,11036658.42599696,17476472.67492362,43422739.389948237 
 01/02  11:45:00,16.924999999999998,28.75,132565947.15948862,4751446.800923282,11934504.95896066,16600393.062474797,43422739.389948237 
 01/02  12:00:00,17.2,28.0,132572336.27427373,4802156.247909706,12809711.904699645,15680865.78453447,43422739.389948237 
 01/02  12:15:00,17.775,26.25,138090788.15422175,4799394.0186931299,14460390.254674245,20041315.199994714,43422739.389948237 
 01/02  12:30:00,18.35,24.5,138954461.7394132,4835984.387793248,16238251.249923598,19090537.420836737,43422739.389948237 
 01/02  12:45:00,18.925,22.75,140035744.90876086,4860503.593286644,18045999.114817665,18339553.519796894,43422739.389948237 
 01/02  13:00:00,19.5,21.0,141005129.89957083,4876474.1706838109,19883575.55061164,17455391.49741579,43422739.389948237 
 01/02  13:15:00,19.625,21.5,137560060.72624538,4929588.443833849,20438985.07336311,11466939.816973463,43422739.389948237 
 01/02  13:30:00,19.75,22.0,136054484.53003318,4935239.138554334,20865413.032190216,9529284.96721366,43422739.389948237 
