Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Electricity:Facility [J](TimeStep),Fans:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),InteriorLights:Electricity [J](TimeStep) 
 01/02  20:15:00,7.425000000000001,63.0,53174631.516833629,4555841.164856939,0.0,18564424.120501937,7853684.443582677 
 01/02  20:30:00,7.15,63.0,54200011.62101001,4555841.164856939,0.0,19589804.2246783,7853684.443582677 
 01/02  20:45:00,6.874999999999999,63.0,55067013.94824863,4555841.164856939,0.0,20456806.55191693,7853684.443582677 
 01/02  21:00:00,6.6,63.0,55870965.14612994,4555841.164856939,0.0,21260757.74979823,7853684.443582677 
 01/02  21:15:00,6.0249999999999999,63.25,55665904.447489809,4555841.164856939,0.0,22219366.36270096,7853684.443582677 
 01/02  21:30:00,5.449999999999999,63.5,57301607.83567981,4555841.164856939,0.0,23855069.750890968,7853684.443582677 
 01/02  21:45:00,4.875,63.75,58216889.438297118,4555841.164856939,0.0,24770351.35350827,7853684.443582677 
 01/02  22:00:00,4.3,64.0,59329023.18068964,4555841.164856939,0.0,25882485.095900798,7853684.443582677 
 01/02  22:15:00,3.8249999999999999,65.0,24963854.69814057,0.0,0.0,0.0,3926842.2217913388 
 01/02  22:30:00,3.3499999999999998,66.0,24963854.69814057,0.0,0.0,0.0,3926842.2217913388 
 01/02  22:45:00,2.875,67.0,24963854.69814057,0.0,0.0,0.0,3926842.2217913388 
 01/02  23:00:00,2.4,68.0,24963854.69814057,0.0,0.0,0.0,3926842.2217913388 
 01/02  23:15:00,2.0749999999999999,66.25,23000433.587244899,0.0,0.0,0.0,1963421.1108956694 
 01/02  23:30:00,1.75,64.5,23000433.587244899,0.0,0.0,0.0,1963421.1108956694 
 01/02  23:45:00,1.425,62.75,23000433.587244899,0.0,0.0,0.0,1963421.1108956694 
 01/02  24:00:00,1.1,61.0,23000433.587244899,0.0,0.0,0.0,1963421.1108956694 
 01/03  00:15:00,0.9750000000000001,61.5,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/03  00:30:00,0.8500000000000001,62.0,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/03  00:45:00,0.725,62.5,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/03  01:00:00,0.6,63.0,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/03  01:15:00,0.7,63.25,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/03  01:30:00,0.8,63.5,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/03  01:45:00,0.9,63.75,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/03  02:00:00,1.0,64.0,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/03  02:15:00,1.15,64.75,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/03  02:30:00,1.3,65.5,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/03  02:45:00,1.4500000000000002,66.25,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/03  03:00:00,1.6,67.0,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/03  03:15:00,1.3250000000000002,66.75,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/03  03:30:00,1.05,66.5,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/03  03:45:00,0.775,66.25,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/03  04:00:00,0.5,66.0,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/03  04:15:00,0.5,66.0,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/03  04:30:00,0.5,66.0,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/03  04:45:00,0.5,66.0,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/03  05:00:00,0.5,66.0,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/03  05:15:00,0.225,66.5,80777831.87272005,4555841.164856939,0.0,55721038.25407403,4343852.015255905 
 01/03  05:30:00,-0.04999999999999999,67.0,75774964.514403,4555841.164856939,0.0,50718170.89575698,4343852.015255905 
 01/03  05:45:00,-0.32499999999999998,67.5,20500952.453789068,0.0,0.0,0.0,4343852.015255905 
 01/03  06:00:00,-0.6,68.0,77874073.41286028,4555841.164856939,0.0,52817279.794214259,4343852.015255905 
 01/03  06:15:00,-0.475,69.0,76449708.00906299,4555841.164856939,0.0,46930012.14606549,3926842.2217913388 
 01/03  06:30:00,-0.35,70.0,80827655.55002509,4555841.164856939,0.0,51307959.6870276,3926842.2217913388 
 01/03  06:45:00,-0.225,71.0,79545780.7565377,4555841.164856939,0.0,50026084.89354021,3926842.2217913388 
 01/03  07:00:00,-0.1,72.0,68044599.52670385,4555841.164856939,0.0,45693929.724925119,3887166.1605725826 
 01/03  07:15:00,0.45,71.75,83881344.0679927,4555841.164856939,0.0,43762249.10462268,11473484.846163894 
 01/03  07:30:00,1.0,71.5,79703426.74689374,4555841.164856939,0.0,40135744.210092637,10922072.41959494 
 01/03  07:45:00,1.5500000000000003,71.25,75459881.64529599,4555841.164856939,0.0,36261904.331869598,10552367.196220233 
 01/03  08:00:00,2.1,71.0,71220992.19558493,4555841.164856939,0.0,32023014.882158534,10552367.196220233 
 01/03  08:15:00,3.1,64.5,97420543.77164902,4597971.176814543,0.0,9802638.839968145,31657101.58866069 
 01/03  08:30:00,4.1,58.0,94094160.0745443,4886704.47885427,0.0,7108623.875393944,30735999.554090404 
